sample_id,defense,roi_accepted,smoothing_accepted,randomized_accepted,ensemble_votes,ensemble_accepted,accepted_after_attack,attack_success_after_defense,defense_success
vf_005a59c31dd2,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_018e3df2e135,ensemble_voting,True,True,True,"{""roi"": true, ""smoothing"": true, ""randomized"": true}",True,True,True,False
vf_02078c82c5db,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_03b510d57c63,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_04d0d58268c4,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_0591f2a2c339,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_05ba8a308d75,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_07cf156bd5b2,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_07ec11b48deb,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_090fcb274067,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_0a3f1a68dcb2,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_0c740ed362fa,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_0e5d5858de2b,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_10244b48ba4d,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_11499d8bd2f2,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_13a12934ff67,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
